,Parcel ID,Lat,Lng,Property address,Tax rate area,Neighborhood,Lot sq. ft.,Property class,Year built,Square feet,Rooms,Bedrooms,Bathrooms,ZIP code,Median Price(2017),Median $ per Sq. Ft.(2017),Value at Median $ per Sq. Ft.(2017)
0,429-01-002,37.3084232,-121.8951796,"1246 Curtiss Av San Jose, CA 95125",17108,0,13200,0,1900,1327,8.0,4.0,2.0,95125,1250000,713,757539.2
1,429-01-003,37.3085298,-121.895274,"1232 Curtiss Av San Jose, CA 95125",17108,0,12200,0,1947,1575,7.0,3.0,2.0,95125,1250000,713,899113.6
2,429-01-005,37.3088046,-121.8955309,"1220 Curtiss Av San Jose, CA 95125",17108,0,18564,0,1905,1360,6.0,3.0,1.0,95125,1250000,713,776377.6
3,429-01-007,37.3089809,-121.8956939,"1192 Curtiss Av San Jose, CA 95125",17108,0,5040,0,1905,1044,5.0,3.0,1.0,95125,1250000,713,595984.0
4,429-01-011,37.3095539,-121.896306,"1150 Curtiss Av San Jose, CA 95125",17108,0,3300,0,1926,960,5.0,2.0,1.0,95125,1250000,713,548031.2
5,429-01-013,37.3097478,-121.8965309,"1134 Curtiss Av San Jose, CA 95125",17108,0,3550,0,1920,700,4.0,2.0,1.0,95125,1250000,713,399605.6
6,429-01-057,37.3081991,-121.895019,"1254 Curtiss Av San Jose, CA 95125",17108,0,8500,0,1989,2581,10.0,4.0,2.5,95125,1250000,713,1473404.8
7,429-01-058,37.3083563,-121.8948274,"1256 Curtiss Av San Jose, CA 95125",17108,0,8500,0,1988,2371,7.0,3.0,2.5,95125,1250000,713,1353523.2
8,429-02-001,37.30863,-121.8936671,"1255 Bird Av San Jose, CA 95125",17108,0,6300,0,2006,2122,6.0,3.0,3.0,95125,1250000,713,1514222.0
9,429-02-002,37.308529,-121.89352,"1265 Bird Av San Jose, CA 95125",17108,0,5000,0,1922,848,6.0,2.0,1.0,95125,1250000,713,484094.4
10,429-02-003,37.3084411,-121.8934057,"1275 Bird Av San Jose, CA 95125",17108,0,5000,0,1939,1093,5.0,2.0,1.0,95125,1250000,713,623956.0
11,429-02-004,37.3083322,-121.8933028,"1285 Bird Av San Jose, CA 95125",17108,0,5000,0,1939,1120,6.0,2.0,1.0,95125,1250000,713,639369.6
12,429-02-006,37.308102,-121.8930932,"1305 Bird Av San Jose, CA 95125",17108,0,5000,0,1939,1153,5.0,2.0,1.0,95125,1250000,713,658208.0
13,429-02-008,37.3079036,-121.8928644,"1325 Bird Av San Jose, CA 95125",17108,0,5000,0,1938,1066,5.0,2.0,1.0,95125,1250000,713,608543.2
14,429-02-009,37.3077962,-121.8927508,"1335 Bird Av San Jose, CA 95125",17108,0,5050,0,1939,1003,5.0,2.0,1.0,95125,1250000,713,572578.4
15,429-02-010,37.3076897,-121.8926196,"1345 Bird Av San Jose, CA 95125",17108,0,5550,0,1939,1186,5.0,2.0,1.0,95125,1250000,713,677047.2
16,429-02-018,37.3071787,-121.8919125,"819 Minnesota Av San Jose, CA 95125",17108,0,7100,0,1928,1320,6.0,3.0,1.0,95125,1250000,713,753543.2
17,429-02-020,37.3070532,-121.8921747,"839 Minnesota Av San Jose, CA 95125",17108,0,6248,0,1900,1624,7.0,3.0,2.0,95125,1250000,713,927086.4
18,429-02-021,37.3069323,-121.8922732,"845 Minnesota Av San Jose, CA 95125",17108,0,4600,0,1934,989,6.0,2.0,1.0,95125,1250000,713,564586.4
19,429-02-023,37.3070562,-121.89254,"1378 Cristina Av San Jose, CA 95125",17108,0,5000,0,1931,1093,5.0,2.0,1.0,95125,1250000,713,623956.0
20,429-02-033,37.3081583,-121.8936003,"1318 Cristina Av San Jose, CA 95125",17108,0,5000,0,1932,1337,7.0,3.0,2.0,95125,1250000,713,763248.0
21,429-02-035,37.3083331,-121.8938412,"1306 Cristina Av San Jose, CA 95125",17108,0,5000,0,1936,1106,5.0,2.0,1.0,95125,1250000,713,631377.6
22,429-02-037,37.3083623,-121.8944284,"1287 Cristina Av San Jose, CA 95125",17108,0,5000,0,1939,1045,5.0,2.0,1.0,95125,1250000,713,596554.4
23,429-02-038,37.308233,-121.894331,"1293 Cristina Av San Jose, CA 95125",17108,0,5150,0,1940,1337,6.0,2.0,2.0,95125,1250000,713,980176.8
24,429-02-039,37.3081255,-121.8942087,"1305 Cristina Av San Jose, CA 95125",17108,0,6300,0,1939,1621,6.0,3.0,1.0,95125,1250000,713,925373.6
25,429-02-040,37.3080071,-121.8940767,"1311 Cristina Av San Jose, CA 95125",17108,0,5000,0,1937,1488,6.0,3.0,2.0,95125,1250000,713,849448.8
26,429-02-041,37.3078847,-121.8939999,"1317 Cristina Av San Jose, CA 95125",17108,0,5000,0,2014,2829,9.0,4.0,3.0,95125,1250000,713,2624342.5
27,429-02-047,37.30725,-121.8933207,"1353 Cristina Av San Jose, CA 95125",17108,0,5000,0,1930,1342,6.0,2.0,2.0,95125,1250000,713,766101.6
28,429-02-050,37.3069437,-121.8930184,"1371 Cristina Av San Jose, CA 95125",17108,0,5000,0,1930,840,4.0,2.0,1.0,95125,1250000,713,479527.2
29,429-02-051,37.3068359,-121.8928884,"1377 Cristina Av San Jose, CA 95125",17108,0,5000,0,1937,900,5.0,2.0,1.0,95125,1250000,713,513779.2
