,Parcel ID,Lat,Lng,Property address,Tax rate area,Neighborhood,Lot sq. ft.,Property class,Year built,Square feet,Rooms,Bedrooms,Bathrooms,ZIP code,Median Price(2017),Median $ per Sq. Ft.(2017),Transaction year,Transaction price
0,429-01-002,37.3084232,-121.8951796,"1246 Curtiss Av San Jose, CA 95125",17108,0,13200,0,1900,1327,8,4,2.0,95125,1250000,713,2015,917184
1,429-01-003,37.3085298,-121.895274,"1232 Curtiss Av San Jose, CA 95125",17108,0,12200,0,1947,1575,7,3,2.0,95125,1250000,713,2011,442886
2,429-01-005,37.3088046,-121.8955309,"1220 Curtiss Av San Jose, CA 95125",17108,0,18564,0,1905,1360,6,3,1.0,95125,1250000,713,2015,1250432
3,429-01-007,37.3089809,-121.8956939,"1192 Curtiss Av San Jose, CA 95125",17108,0,5040,0,1905,1044,5,3,1.0,95125,1250000,713,2016,841500
4,429-01-011,37.3095539,-121.896306,"1150 Curtiss Av San Jose, CA 95125",17108,0,3300,0,1926,960,5,2,1.0,95125,1250000,713,2010,375370
5,429-01-013,37.3097478,-121.8965309,"1134 Curtiss Av San Jose, CA 95125",17108,0,3550,0,1920,700,4,2,1.0,95125,1250000,713,2014,28639
6,429-01-057,37.3081991,-121.895019,"1254 Curtiss Av San Jose, CA 95125",17108,0,8500,0,1989,2581,10,4,2.5,95125,1250000,713,1989,363802
7,429-01-058,37.3083563,-121.8948274,"1256 Curtiss Av San Jose, CA 95125",17108,0,8500,0,1988,2371,7,3,2.5,95125,1250000,713,2005,840727
8,429-02-001,37.30863,-121.8936671,"1255 Bird Av San Jose, CA 95125",17108,0,6300,0,2006,2122,6,3,3.0,95125,1250000,713,2011,129342
9,429-02-002,37.308529,-121.89352,"1265 Bird Av San Jose, CA 95125",17108,0,5000,0,1922,848,6,2,1.0,95125,1250000,713,1985,85780
10,429-02-003,37.3084411,-121.8934057,"1275 Bird Av San Jose, CA 95125",17108,0,5000,0,1939,1093,5,2,1.0,95125,1250000,713,2013,115436
11,429-02-004,37.3083322,-121.8933028,"1285 Bird Av San Jose, CA 95125",17108,0,5000,0,1939,1120,6,2,1.0,95125,1250000,713,2012,405846
12,429-02-006,37.308102,-121.8930932,"1305 Bird Av San Jose, CA 95125",17108,0,5000,0,1939,1153,5,2,1.0,95125,1250000,713,2009,388350
13,429-02-008,37.3079036,-121.8928644,"1325 Bird Av San Jose, CA 95125",17108,0,5000,0,1938,1066,5,2,1.0,95125,1250000,713,2008,560224
14,429-02-009,37.3077962,-121.8927508,"1335 Bird Av San Jose, CA 95125",17108,0,5050,0,1939,1003,5,2,1.0,95125,1250000,713,2016,66391
15,429-02-010,37.3076897,-121.8926196,"1345 Bird Av San Jose, CA 95125",17108,0,5550,0,1939,1186,5,2,1.0,95125,1250000,713,1978,58527
16,429-02-018,37.3071787,-121.8919125,"819 Minnesota Av San Jose, CA 95125",17108,0,7100,0,1928,1320,6,3,1.0,95125,1250000,713,2016,641784
17,429-02-020,37.3070532,-121.8921747,"839 Minnesota Av San Jose, CA 95125",17108,0,6248,0,1900,1624,7,3,2.0,95125,1250000,713,2014,562449
18,429-02-021,37.3069323,-121.8922732,"845 Minnesota Av San Jose, CA 95125",17108,0,4600,0,1934,989,6,2,1.0,95125,1250000,713,2010,363534
19,429-02-023,37.3070562,-121.89254,"1378 Cristina Av San Jose, CA 95125",17108,0,5000,0,1931,1093,5,2,1.0,95125,1250000,713,2014,19083
20,429-02-033,37.3081583,-121.8936003,"1318 Cristina Av San Jose, CA 95125",17108,0,5000,0,1932,1337,7,3,2.0,95125,1250000,713,2016,436774
21,429-02-035,37.3083331,-121.8938412,"1306 Cristina Av San Jose, CA 95125",17108,0,5000,0,1936,1106,5,2,1.0,95125,1250000,713,2012,337695
22,429-02-037,37.3083623,-121.8944284,"1287 Cristina Av San Jose, CA 95125",17108,0,5000,0,1939,1045,5,2,1.0,95125,1250000,713,2004,473511
23,429-02-038,37.308233,-121.894331,"1293 Cristina Av San Jose, CA 95125",17108,0,5150,0,1940,1337,6,2,2.0,95125,1250000,713,2012,19083
24,429-02-039,37.3081255,-121.8942087,"1305 Cristina Av San Jose, CA 95125",17108,0,6300,0,1939,1621,6,3,1.0,95125,1250000,713,2012,217571
25,429-02-040,37.3080071,-121.8940767,"1311 Cristina Av San Jose, CA 95125",17108,0,5000,0,1937,1488,6,3,2.0,95125,1250000,713,2014,606283
26,429-02-041,37.3078847,-121.8939999,"1317 Cristina Av San Jose, CA 95125",17108,0,5000,0,2014,2829,9,4,3.0,95125,1250000,713,2014,750777
27,429-02-047,37.30725,-121.8933207,"1353 Cristina Av San Jose, CA 95125",17108,0,5000,0,1930,1342,6,2,2.0,95125,1250000,713,2017,669342
28,429-02-050,37.3069437,-121.8930184,"1371 Cristina Av San Jose, CA 95125",17108,0,5000,0,1930,840,4,2,1.0,95125,1250000,713,2011,131925
29,429-02-051,37.3068359,-121.8928884,"1377 Cristina Av San Jose, CA 95125",17108,0,5000,0,1937,900,5,2,1.0,95125,1250000,713,2015,718363
30,429-02-053,37.3066063,-121.8927919,"865 Minnesota Av San Jose, CA 95125",17108,0,4600,0,1939,1335,7,3,1.0,95125,1250000,713,2002,436774
31,429-02-054,37.3064915,-121.8929165,"875 Minnesota Av San Jose, CA 95125",17108,0,5253,0,1938,1131,5,2,1.0,95125,1250000,713,2014,521996
32,429-02-055,37.3064146,-121.8930541,"885 Minnesota Av San Jose, CA 95125",17108,0,5253,0,1938,1146,5,2,1.0,95125,1250000,713,1992,111521
33,429-02-057,37.3066076,-121.8933155,"1376 Curtiss Av San Jose, CA 95125",17108,0,8262,0,1920,2222,8,4,2.0,95125,1250000,713,2012,762992
34,429-02-058,37.3066986,-121.8934525,"1366 Curtiss Av San Jose, CA 95125",17108,0,8262,0,1920,1592,7,3,1.0,95125,1250000,713,2001,146464
35,429-02-059,37.3068026,-121.8935738,"1358 Curtiss Av San Jose, CA 95125",17108,0,8262,0,1925,1648,6,2,1.0,95125,1250000,713,2003,19882
36,429-02-060,37.3069599,-121.8936637,"1350 Curtiss Av San Jose, CA 95125",17108,0,7182,0,1925,1392,6,3,2.0,95125,1250000,713,2005,614060
37,429-02-062,37.3071883,-121.8938816,"1334 Curtiss Av San Jose, CA 95125",17108,0,8262,0,2010,3001,9,4,4.0,95125,1250000,713,2015,1122000
38,429-02-066,37.3075956,-121.8944134,"1302 Curtiss Av San Jose, CA 95125",17108,0,8568,0,1928,1056,6,3,1.0,95125,1250000,713,2013,477467
39,429-02-067,37.3077438,-121.8944808,"1292 Curtiss Av San Jose, CA 95125",17108,0,8415,0,2001,3112,10,4,3.0,95125,1250000,713,2017,286273
40,429-02-069,37.3079696,-121.8947231,"1272 Curtiss Av San Jose, CA 95125",17108,0,7500,0,1920,940,5,3,1.0,95125,1250000,713,1992,75384
41,429-02-070,37.308073,-121.8948183,"1264 Curtiss Av San Jose, CA 95125",17108,0,7650,0,1908,1080,4,2,1.0,95125,1250000,713,2016,690597
42,429-02-071,37.3063579,-121.8932228,"1390 Curtiss Av San Jose, CA 95125",17108,0,4794,0,1964,3572,11,5,4.0,95125,1250000,713,2011,521594
43,429-02-073,37.307606,-121.8925111,"1355 Bird Av San Jose, CA 95125",17108,0,6300,0,1928,1528,6,2,1.0,95125,1250000,713,2017,612000
44,429-02-075,37.307555,-121.8923192,"1365 Bird Av San Jose, CA 95125",17108,0,6000,0,1939,1647,6,3,2.0,95125,1250000,713,2005,600519
